SampleID	Date	Timepoint	TotalColiforms_MPN	Ecoli_MPN	nitrate	TotCol_PA	Otu00001	Otu00003	Otu00004	Otu00005	Otu00006	Otu00007	Otu00008	Otu00009	Otu00010	Otu00011	Otu00012	Otu00014	Otu00019	Otu00020	Otu00022	Otu00023	Otu00029	Otu00030	Otu00031	Otu00034	Otu00042	Otu00045	Otu00048	Otu00049	Otu00052	Otu00063	Otu00066	Otu00067	Otu00070	Otu00072	Otu00073	Otu00074	Otu00084	Otu00085	Otu00087	Otu00089	Otu00098	Otu00111	Otu00129	Otu00164	Otu00181	Otu00195	Otu00207	Otu00217	Otu00279	Otu00314	Otu00322	Otu00337	Otu00354	Otu00377	Otu00688	Otu00866	Otu01594	Otu07052
GWQ_016	4/6/19	Florence_2_March2019	6.3	NA	0.007	1	0.000535475234270415	0.0417670682730924	0	0.0037483266398929	0.00214190093708166	0.00562248995983936	0	0.00240963855421687	0.00990629183400268	0	0	0	0	0	0	0	0	0	0.0235609103078983	0.000267737617135208	0	0.00294511378848728	0.000535475234270415	0	0.00160642570281125	0.235341365461847	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0447121820615797	0.0356091030789826	0	0	0.111378848728246	0.0564926372155288	0	0	0.0519410977242303	0	0	0	0.0639892904953146	0	0
GWQ_055	3/30/19	Florence_2_March2019	26.2	NA	0.013	1	0.0551207235113533	0.000636114721907238	0.0238957878142545	0.000387200265508753	0.00129988660563653	0.000110628647288215	0.00948640650496446	0.0134690378073402	0.00190834416572171	0	0.012832923085433	0.01131177918522	0.000636114721907238	2.76571618220538e-05	0	0.00262743037309511	0	0	0.000248914456398484	0.000746743369195453	0.0389689410072738	0.000193600132754377	0.00118925795834831	0	0.0417346571894792	0.013883895234671	0	0.000442514589152861	0.00102331498741599	0.000774400531017507	0	0.00110628647288215	0	0	0.000193600132754377	0.000608457560085184	0.0107033216251348	2.76571618220538e-05	0	0.000553143236441076	5.53143236441076e-05	2.76571618220538e-05	0.000248914456398484	0	2.76571618220538e-05	0	0	0	0	0	0	0	0	0
GWQ_A003	12/8/18	Florence_1_Dec2018	1	0	0.006	1	0.0109783750898733	0.000442453404125878	0.0773740390465129	0.0248603506443228	0.00447984071677451	0.000110613351031469	0.0214313367623472	0.0197721364968752	8.29600132736021e-05	0	0.00301421381560754	0.0140478955809966	0	0.01543056246889	0.000221226702062939	0.00116144018583043	0.00248880039820806	5.53066755157347e-05	0.00163154692771418	0.000442453404125878	0.00149328023892484	0.00132736021237763	0	0.281953431779216	0	0.000248880039820806	0	0	0.000193573364305072	0.0156241358331951	0.00539240086278414	0.000110613351031469	0.000138266688789337	0	0	0.000193573364305072	0.000304186715336541	0	0	0.000138266688789337	0.000138266688789337	0	0	0	0.000359493390852276	8.29600132736021e-05	5.53066755157347e-05	0	0	0	0	8.29600132736021e-05	0	0
GWQ_A004	12/8/18	Florence_1_Dec2018	228.2	0	0.003	1	0.000778152443769222	0.00396487197539556	0.00389076221884611	0.00704042687219772	0.00392781709712084	0.0107459146996702	0	3.70548782747249e-05	0.000259384147923074	0.000444658539296698	0.00811501834216475	0.0100048171341757	0.000333493904472524	0.00603994515878015	0	0.179456775484493	0.00192685367028569	0.00222329269648349	0.00281617074887909	0	0.0130803720309779	0	0.0435394819728017	3.70548782747249e-05	0	0	3.70548782747249e-05	3.70548782747249e-05	0.000185274391373624	0	0.00188979879201097	0.000629932930670323	3.70548782747249e-05	3.70548782747249e-05	0	0.00274206099232964	0.0122281098306592	0.00855967688146144	0.125467817838218	0.000926371956868122	0.00122281098306592	7.41097565494497e-05	0	0	0.000555823174120873	0.000333493904472524	7.41097565494497e-05	0	0	0	0	0	0	0
GWQ_048	12/8/18	Florence_1_Dec2018	5.2	3.1	0.029	1	0.0527793167128347	0.00816251154201293	0.000701754385964912	0.00136657433056325	0.0015881809787627	7.38688827331487e-05	0	0	0.00084949215143121	3.69344413665743e-05	0.005466297322253	0.00110803324099723	0.025854108956602	0.00284395198522622	0	0.0295106186518929	0.000221606648199446	3.69344413665743e-05	0.0096398891966759	0.0925207756232687	0	0.0067590027700831	0.045724838411819	0	0.00262234533702678	0	3.69344413665743e-05	0.00343490304709141	0.0794459833795014	0.000664819944598338	0.000110803324099723	0.0871283471837488	0	0	0.00760849492151431	0	0.00321329639889197	0	0	3.69344413665743e-05	0	0	0.0564358264081256	0	3.69344413665743e-05	0	0.000406278855032318	0	0	0	0	0	0	0
GWQ_115	12/8/18	Florence_1_Dec2018	1413.6	0	2.815	1	0.0101405443871197	0.0012453300124533	0.0115637786870664	0.0152997687244263	0.0152997687244263	0.00284646859989326	0	0.00693826721223981	0	0.00676036292474649	0.000177904287493329	0	0	0.0469667318982387	0	0.0192136630492795	0	0	0	0.00658245863725316	0.0183241416118128	0	0	0	0.0101405443871197	0	0.00160113858743996	0	0	0	0	0	0.00338018146237324	0	0.00426970289983989	0	0	0	0	0	0.0435865504358655	0	0	0	0	0.163494040206369	0	0	0	0.0569293719978652	0.0725849492972781	0	0	0
GWQ_260	12/8/18	Florence_1_Dec2018	1	0	0.138	1	0.00610504774897681	0.0043656207366985	0.0195088676671214	0.0108458390177353	0.0369713506139154	0.000682128240109141	0.000204638472032742	0.00286493860845839	0	0	0.00474079126875853	0.00576398362892224	0	0.0279331514324693	0	0.0111527967257844	0	0.116166439290587	0.000409276944065484	0	0.00457025920873124	0.000136425648021828	0	0.000102319236016371	0	0.000170532060027285	0	0	0	0.0469986357435198	0.0328444747612551	6.82128240109141e-05	6.82128240109141e-05	0.166678035470668	0	0.000375170532060027	0	6.82128240109141e-05	0.000102319236016371	3.4106412005457e-05	3.4106412005457e-05	0.00658253751705321	0	3.4106412005457e-05	0.000170532060027285	0	0	0	0	0	0	0	0	0
GWQ_076	12/6/18	Florence_1_Dec2018	7.5	NA	0.022	1	0.012442575497919	0.00139690951770619	0.0203631964746036	0.0390990653667248	0.0470772908596034	0.000504039516698109	0.000964875646250666	0.000158412419533691	2.88022580970348e-05	0	0.00756059275047164	0.0156396261466899	0.0131914342084419	0.00933193162343928	0	0.0022321750025202	0.0233442301876467	0.00447875113408891	0.0509943979608001	0.000259220322873313	0.000604847420037731	0.00449315226313743	0.017814196633016	0	0	0.000345627097164418	0	0.0395166981091318	0.000864067742911044	0	0.00142571177580322	0.000907271130056596	0.00038883048430997	0.000950474517202149	1.44011290485174e-05	0.000316824839067383	0.000849666613862527	2.88022580970348e-05	0	0.000748858710522905	0.000547242903843661	4.32033871455522e-05	0	4.32033871455522e-05	0.000792062097668457	2.88022580970348e-05	0.00100807903339622	0	0	0	0.000590446290989214	0	0.000172813548582209	0
NCGWQ_2004	8/11/19	Florence_3_Aug2019	72419.6	0	0.448	1	0	0.0573770491803279	0.0204918032786885	0.0819672131147541	0.0122950819672131	0.00819672131147541	0.00819672131147541	0.00409836065573771	0.00819672131147541	0	0.0245901639344262	0.0204918032786885	0	0.172131147540984	0	0.0163934426229508	0.0491803278688525	0.00819672131147541	0.00409836065573771	0.00409836065573771	0	0.0327868852459016	0.0327868852459016	0	0	0.00409836065573771	0	0	0	0	0	0	0	0	0	0	0.0327868852459016	0	0	0	0	0	0	0	0.00409836065573771	0	0	0	0	0	0	0	0	0
NCGWQ_302	9/2/19	Florence_4_Sept2019	25.9	0	0.004	1	0	0	0	0.0297029702970297	0	0	0.376237623762376	0.0099009900990099	0	0	0	0	0	0.0396039603960396	0	0.0099009900990099	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118811881188119	0.0099009900990099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0099009900990099	0	0	0	0	0	0	0	0
NCGWQ_304	9/2/19	Florence_4_Sept2019	4.1	0	0.002	1	0	0	0	0	0.0161290322580645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.209677419354839	0	0	0	0	0	0.387096774193548	0	0	0.0161290322580645	0	0	0	0	0.0483870967741935	0	0	0	0	0	0	0	0	0	0	0	0	0.112903225806452
NCGWQ_307	9/2/19	Florence_4_Sept2019	25.6	0	0	1	0.00284900284900285	0.144349477682811	0.0560303893637227	0.107312440645774	0.00854700854700855	0.0199430199430199	0	0.000949667616334283	0.0835707502374169	0.0541310541310541	0.00284900284900285	0.00664767331433998	0.0275403608736942	0	0	0.00189933523266857	0	0	0.00189933523266857	0.00284900284900285	0.0180436847103514	0.00284900284900285	0.00379867046533713	0	0	0.0332383665716999	0.00189933523266857	0	0	0	0.00284900284900285	0.000949667616334283	0.000949667616334283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000949667616334283	0.056980056980057	0	0	0	0	0
NCGWQ_311	9/2/19	Florence_4_Sept2019	88.4	0	0.003	1	0.033112582781457	0	0	0.155629139072848	0.0033112582781457	0	0	0.0033112582781457	0	0.0033112582781457	0.00662251655629139	0.00993377483443709	0.0033112582781457	0	0	0	0	0.00993377483443709	0.145695364238411	0	0.0132450331125828	0.00993377483443709	0	0	0	0	0	0.00993377483443709	0	0.0033112582781457	0.00993377483443709	0	0	0	0	0	0.0033112582781457	0.0033112582781457	0	0.0132450331125828	0	0	0	0	0	0	0	0	0	0	0	0	0.0198675496688742	0
NCGWQ_405	9/14/19	Florence_4_Sept2019	204.6	0	0.009	1	0.0087719298245614	0.508771929824561	0	0	0	0.140350877192982	0	0	0.0087719298245614	0	0.0087719298245614	0	0	0	0.0701754385964912	0	0	0.0087719298245614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.087719298245614	0	0	0.0789473684210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCGWQ_453	9/15/19	Florence_4_Sept2019	1	0	0.002	1	0	0	0	0	0.0344827586206897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137931034482759	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0344827586206897	0	0	0	0	0	0.103448275862069	0	0	0	0	0.344827586206897	0	0	0	0	0	0.172413793103448	0
